[COT 2023-05-29 11:53:56] 76561198930893538: Teleported to position <6799.253906, 15.000000, 11667.167969>
[COT 2023-05-29 11:54:14] 76561198040010982: Teleported to <6797.256836, 15.012443, 11672.290039> [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:20] 76561198930893538: Set GodMode To true [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:22] 76561198930893538: Set cannot be targeted by AI to true [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:22] 76561198930893538: Set UnlimitedStamina To true [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:23] 76561198930893538: Set UnlimitedAmmo To true [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:23] 76561198040010982: Entered the Free Camera
[COT 2023-05-29 11:54:40] 76561198040010982: Left the Free Camera
[COT 2023-05-29 11:57:43] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d9469a30>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:43] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<e632a520>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:43] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<e63257b0>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:43] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<ea32f690>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:43] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<e8a9f070>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:43] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<e8aa0690>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:43] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<ccaca9b0>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:43] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<e2580da0>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:44] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<e258eae0>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:44] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<e2596fa0>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:44] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<e25abb80>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:44] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<e4c98130>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:44] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<e6ffa040>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:44] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<e70093a0>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:44] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<e700a9c0>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:44] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<e65e9b10>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:45] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<eaf12b80>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:58:16] 76561198040010982: Set Reputation To 5000 [guid=8vtfObsTQABYXpVHaEsAuZ5QTEAjCvC2a-AZwd4E5dw=]
[COT 2023-05-29 12:04:40] 76561198040010982: Teleported to <2657.838135, 3.674268, 11141.584961> [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 12:05:15] 76561198040010982: Spawned Entity  (Expansion_C4_Explosion<47f4ffc0>, -1, 0) at <2662.369385, 6.127630, 11137.914063>
[COT 2023-05-29 12:05:36] 76561198040010982: Teleported to <2661.026611, 6.619337, 11136.833984> [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 12:07:18] 76561198040010982: Spawned Entity Infected (ZmbM_PatrolNormal_Base<51687c20>, -1, 115) at <2675.206055, 2.000000, 11146.600586>
[COT 2023-05-29 12:07:32] 76561198040010982: Spawned Entity Survivor (SurvivorBase<52173020>, -1, 100) at <2675.202148, 2.000000, 11146.603516>
