00:01:47.389 [Party] Player "Vitellius" (id=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=) joinded the party "Nighteriders" (id=1 ownerUID=zhJxvJUIQcTeCgEZ3Xhlvc_WjNMgSdId2I-HV3Jo6tA= ownerName=DKGreear12)
00:01:47.397 [Expansion Quests] - InitQuestSystemClient - Loaded existing player quest data for player with UID: QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=
00:01:47.397 [Expansion Quests] - InitClientQuests_NormalQuests - Create new quest instance for quest: 7 - Creator UID: QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=
00:44:04.377 [Market] Player "Vitellius" (id=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=) has sold snafu_m4300ac_16_gun x1 at the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>) and got 3950.
00:44:17.293 [Market] Player "Vitellius" (id=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=) has send a requested to sell snafu_aktango6t_wood x1 at the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>).
00:44:17.339 [Market] Player "Vitellius" (id=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=) has sold snafu_aktango6t_wood x1 at the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>) and got 150.
00:44:31.883 [Market] Player "Vitellius" (id=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=) has send a requested to sell snafu_standardized_suppressor_black x1 at the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>).
00:44:31.953 [Market] Player "Vitellius" (id=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=) has sold snafu_standardized_suppressor_black x1 at the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>) and got 100.
00:44:37.404 [Market] Player "RC" (id=-G7h99lSZDcoLDkS_Pf_kTJ_FSRUsnlVGD6gnAZk71c=) has send a requested to purchase snafu_aimpoint_aco x1 from the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>).
00:44:37.495 [Market] Player "RC" (id=-G7h99lSZDcoLDkS_Pf_kTJ_FSRUsnlVGD6gnAZk71c=) has bought snafu_aimpoint_aco x1 from the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>) for a price of 400.
00:44:59.731 [Market] Player "RC" (id=-G7h99lSZDcoLDkS_Pf_kTJ_FSRUsnlVGD6gnAZk71c=) has send a requested to purchase battery9v x2 from the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>).
00:44:59.853 [Market] Player "RC" (id=-G7h99lSZDcoLDkS_Pf_kTJ_FSRUsnlVGD6gnAZk71c=) has bought battery9v x2 from the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>) for a price of 20.
00:45:06.235 [Market] Player "DKGreear12" (id=zhJxvJUIQcTeCgEZ3Xhlvc_WjNMgSdId2I-HV3Jo6tA=) has send a requested to sell battery9v x1 at the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>).
00:45:06.338 [Market] Player "DKGreear12" (id=zhJxvJUIQcTeCgEZ3Xhlvc_WjNMgSdId2I-HV3Jo6tA=) has sold battery9v x1 at the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>) and got 4.
00:45:06.892 [Market] Player "Vitellius" (id=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=) has send a requested to sell snafu_leupold_mark8 x1 at the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>).
00:45:06.938 [Market] Player "Vitellius" (id=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=) has sold snafu_leupold_mark8 x1 at the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>) and got 200.
00:45:15.443 [Market] Player "Vitellius" (id=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=) has send a requested to sell snafu_tango6t_black x1 at the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>).
00:45:15.487 [Market] Player "Vitellius" (id=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=) has sold snafu_tango6t_black x1 at the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>) and got 204.
00:45:24.322 [Market] Player "Vitellius" (id=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=) has send a requested to purchase snafu_tango6t_black x1 from the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>).
00:45:24.377 [Market] Player "Vitellius" (id=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=) has bought snafu_tango6t_black x1 from the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>) for a price of 400.
00:45:24.605 [Market] Player "Vitellius" (id=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=) has send a requested to purchase snafu_tango6t_black x1 from the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>).
00:45:24.672 [Market] Player "Vitellius" (id=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=) has bought snafu_tango6t_black x1 from the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>) for a price of 400.
00:45:34.541 [Market] Player "DKGreear12" (id=zhJxvJUIQcTeCgEZ3Xhlvc_WjNMgSdId2I-HV3Jo6tA=) has send a requested to sell battery9v x1 at the trader "BlackMarket (Gabi [Black Market])" in market zone "Black Market Trading Zone" (pos=<3195.000000, 118.300003, 7508.859863>).
